"","eventDate","eventType","scopeStartDate","eventYear"
"1",2007-09-09,"presidential & parliamentary",2007-08-10,"2007"
"2",2003-11-09,"presidential & congressional",2003-10-10,"2003"
"3",1999-11-07,"presidential & congressional",1999-10-08,"1999"
"4",1995-11-12,"presidential & congressional",1995-10-13,"1995"
"5",1994-01-30,"constitutional referendum",1993-12-31,"1994"
"6",1993-06-05,"presidental",1993-05-06,"1993"
"7",1990-11-11,"presidental & congressional",1990-10-12,"1990"
"8",1985-11-03,"presidental & congressional",1985-10-04,"1985"
"9",1984-07-01,"constitutional assembly",1984-06-01,"1984"
"10",1982-03-07,"presidental & congressional",1982-02-05,"1982"
