"","region","totalCasualtiesHighLowAvg","latitude","longitude"
"1","Leyte",2,"11.3703","124.489"
"2","Sigma",1,"11.4167","122.667"
"3","Philippines",66,"13","122"
"4","Tayabas",1,"14.0289","121.591"
"5","Nueva Vizcaya",1,"16.3333","121.333"
"6","Misamis Oriental",0,"8.75","125"
"7","South Cotabato",0,"6.16667","125"
"8","Palawan",0,"10.8","124.55"
"9","Davao City",0,"7.07306","125.613"
"10","Quezon",0,"14.0094","122.183"
"11","Masbate",0,"12.25","123.5"
"12","Cagayan Valley",0,"17.5","121.75"
"13","Tarlac",0,"15.4889","120.599"
"14","Ilocos Norte",0,"18.1667","120.75"
"15","Davao Oriental",4,"7.16667","126.333"
"16","Ilocos Sur",4,"17.3333","120.583"
"17","Kalinga-Apayao",4,"17.75","121.25"
"18","Balud",3,"12.0386","123.194"
"19","Bicol",121,"13.7289","123.121"
